IMRP_Date,Settlement_Period,IMRP_Amount
2016-06-30 00:00:00.0000000,1,29.55
2016-06-30 00:00:00.0000000,2,29.30
2016-06-30 00:00:00.0000000,3,28.95
2016-06-30 00:00:00.0000000,4,26.00
2016-06-30 00:00:00.0000000,5,24.99
2016-06-30 00:00:00.0000000,6,29.15
2016-06-30 00:00:00.0000000,7,35.00
2016-06-30 00:00:00.0000000,8,33.98
2016-06-30 00:00:00.0000000,9,42.63
2016-06-30 00:00:00.0000000,10,46.92
2016-06-30 00:00:00.0000000,11,45.00
2016-06-30 00:00:00.0000000,12,42.64
2016-06-30 00:00:00.0000000,13,38.69
2016-06-30 00:00:00.0000000,14,31.05
2016-06-30 00:00:00.0000000,15,30.39
2016-06-30 00:00:00.0000000,16,34.50
2016-06-30 00:00:00.0000000,17,50.44
2016-06-30 00:00:00.0000000,18,59.91
2016-06-30 00:00:00.0000000,19,45.14
2016-06-30 00:00:00.0000000,20,46.46
2016-06-30 00:00:00.0000000,21,38.51
2016-06-30 00:00:00.0000000,22,36.04
2016-06-30 00:00:00.0000000,23,30.98
2016-06-30 00:00:00.0000000,24,44.44
2016-07-01 00:00:00.0000000,1,32.93
2016-07-01 00:00:00.0000000,2,31.46
2016-07-01 00:00:00.0000000,3,29.82
2016-07-01 00:00:00.0000000,4,23.16
2016-07-01 00:00:00.0000000,5,19.82
2016-07-01 00:00:00.0000000,6,26.93
2016-07-01 00:00:00.0000000,7,31.72
2016-07-01 00:00:00.0000000,8,32.97
2016-07-01 00:00:00.0000000,9,43.91
2016-07-01 00:00:00.0000000,10,52.98
2016-07-01 00:00:00.0000000,11,52.83
2016-07-01 00:00:00.0000000,12,43.92
2016-07-01 00:00:00.0000000,13,39.85
2016-07-01 00:00:00.0000000,14,34.23
2016-07-01 00:00:00.0000000,15,31.03
2016-07-01 00:00:00.0000000,16,30.83
2016-07-01 00:00:00.0000000,17,34.92
2016-07-01 00:00:00.0000000,18,39.96
2016-07-01 00:00:00.0000000,19,41.38
2016-07-01 00:00:00.0000000,20,41.00
2016-07-01 00:00:00.0000000,21,36.22
2016-07-01 00:00:00.0000000,22,36.42
2016-07-01 00:00:00.0000000,23,33.40
2016-07-01 00:00:00.0000000,24,50.06
2016-07-02 00:00:00.0000000,1,39.54
2016-07-02 00:00:00.0000000,2,36.55
2016-07-02 00:00:00.0000000,3,30.90
2016-07-02 00:00:00.0000000,4,28.90
2016-07-02 00:00:00.0000000,5,20.01
2016-07-02 00:00:00.0000000,6,18.06
2016-07-02 00:00:00.0000000,7,27.91
2016-07-02 00:00:00.0000000,8,25.18
2016-07-02 00:00:00.0000000,9,34.94
2016-07-02 00:00:00.0000000,10,37.96
2016-07-02 00:00:00.0000000,11,36.74
2016-07-02 00:00:00.0000000,12,35.00
2016-07-02 00:00:00.0000000,13,31.59
2016-07-02 00:00:00.0000000,14,29.52
2016-07-02 00:00:00.0000000,15,27.93
2016-07-02 00:00:00.0000000,16,27.96
2016-07-02 00:00:00.0000000,17,30.06
2016-07-02 00:00:00.0000000,18,34.92
2016-07-02 00:00:00.0000000,19,40.90
2016-07-02 00:00:00.0000000,20,37.96
2016-07-02 00:00:00.0000000,21,34.92
2016-07-02 00:00:00.0000000,22,42.08
2016-07-02 00:00:00.0000000,23,44.89
2016-07-02 00:00:00.0000000,24,45.00
2016-07-03 00:00:00.0000000,1,35.00
2016-07-03 00:00:00.0000000,2,30.97
2016-07-03 00:00:00.0000000,3,30.00
2016-07-03 00:00:00.0000000,4,29.91
2016-07-03 00:00:00.0000000,5,28.19
2016-07-03 00:00:00.0000000,6,26.08
2016-07-03 00:00:00.0000000,7,28.64
2016-07-03 00:00:00.0000000,8,10.63
2016-07-03 00:00:00.0000000,9,22.34
2016-07-03 00:00:00.0000000,10,31.91
2016-07-03 00:00:00.0000000,11,35.01
2016-07-03 00:00:00.0000000,12,35.05
2016-07-03 00:00:00.0000000,13,35.03
2016-07-03 00:00:00.0000000,14,35.01
2016-07-03 00:00:00.0000000,15,30.39
2016-07-03 00:00:00.0000000,16,26.99
2016-07-03 00:00:00.0000000,17,30.59
2016-07-03 00:00:00.0000000,18,37.01
2016-07-03 00:00:00.0000000,19,46.82
2016-07-03 00:00:00.0000000,20,47.43
2016-07-03 00:00:00.0000000,21,50.01
2016-07-03 00:00:00.0000000,22,53.95
2016-07-03 00:00:00.0000000,23,36.07
2016-07-03 00:00:00.0000000,24,46.01
2016-07-04 00:00:00.0000000,1,33.00
2016-07-04 00:00:00.0000000,2,32.78
2016-07-04 00:00:00.0000000,3,30.95
2016-07-04 00:00:00.0000000,4,30.95
2016-07-04 00:00:00.0000000,5,30.91
2016-07-04 00:00:00.0000000,6,32.75
2016-07-04 00:00:00.0000000,7,35.51
2016-07-04 00:00:00.0000000,8,35.02
2016-07-04 00:00:00.0000000,9,45.63
2016-07-04 00:00:00.0000000,10,49.00
2016-07-04 00:00:00.0000000,11,54.00
2016-07-04 00:00:00.0000000,12,55.00
2016-07-04 00:00:00.0000000,13,49.00
2016-07-04 00:00:00.0000000,14,45.26
2016-07-04 00:00:00.0000000,15,45.15
2016-07-04 00:00:00.0000000,16,43.16
2016-07-04 00:00:00.0000000,17,63.00
2016-07-04 00:00:00.0000000,18,65.00
2016-07-04 00:00:00.0000000,19,50.00
2016-07-04 00:00:00.0000000,20,46.54
2016-07-04 00:00:00.0000000,21,37.10
2016-07-04 00:00:00.0000000,22,37.01
2016-07-04 00:00:00.0000000,23,34.00
2016-07-04 00:00:00.0000000,24,40.01
2016-07-05 00:00:00.0000000,1,34.89
2016-07-05 00:00:00.0000000,2,29.98
2016-07-05 00:00:00.0000000,3,28.10
2016-07-05 00:00:00.0000000,4,27.15
2016-07-05 00:00:00.0000000,5,24.42
2016-07-05 00:00:00.0000000,6,27.82
2016-07-05 00:00:00.0000000,7,36.51
2016-07-05 00:00:00.0000000,8,31.30
2016-07-05 00:00:00.0000000,9,33.98
2016-07-05 00:00:00.0000000,10,42.42
2016-07-05 00:00:00.0000000,11,40.00
2016-07-05 00:00:00.0000000,12,37.00
2016-07-05 00:00:00.0000000,13,34.00
2016-07-05 00:00:00.0000000,14,30.39
2016-07-05 00:00:00.0000000,15,30.16
2016-07-05 00:00:00.0000000,16,38.03
2016-07-05 00:00:00.0000000,17,44.00
2016-07-05 00:00:00.0000000,18,54.94
2016-07-05 00:00:00.0000000,19,43.23
2016-07-05 00:00:00.0000000,20,44.52
2016-07-05 00:00:00.0000000,21,40.07
2016-07-05 00:00:00.0000000,22,39.50
2016-07-05 00:00:00.0000000,23,35.53
2016-07-05 00:00:00.0000000,24,38.06
2016-07-06 00:00:00.0000000,1,32.00
2016-07-06 00:00:00.0000000,2,28.91
2016-07-06 00:00:00.0000000,3,27.91
2016-07-06 00:00:00.0000000,4,27.82
2016-07-06 00:00:00.0000000,5,26.92
2016-07-06 00:00:00.0000000,6,28.00
2016-07-06 00:00:00.0000000,7,36.02
2016-07-06 00:00:00.0000000,8,33.99
2016-07-06 00:00:00.0000000,9,41.86
2016-07-06 00:00:00.0000000,10,42.99
2016-07-06 00:00:00.0000000,11,42.00
2016-07-06 00:00:00.0000000,12,42.98
2016-07-06 00:00:00.0000000,13,39.32
2016-07-06 00:00:00.0000000,14,35.00
2016-07-06 00:00:00.0000000,15,33.03
2016-07-06 00:00:00.0000000,16,42.09
2016-07-06 00:00:00.0000000,17,58.09
2016-07-06 00:00:00.0000000,18,57.98
2016-07-06 00:00:00.0000000,19,48.76
2016-07-06 00:00:00.0000000,20,50.01
2016-07-06 00:00:00.0000000,21,40.01
2016-07-06 00:00:00.0000000,22,36.91
2016-07-06 00:00:00.0000000,23,31.95
2016-07-06 00:00:00.0000000,24,41.05
2016-07-07 00:00:00.0000000,1,31.98
2016-07-07 00:00:00.0000000,2,29.02
2016-07-07 00:00:00.0000000,3,27.79
2016-07-07 00:00:00.0000000,4,25.81
2016-07-07 00:00:00.0000000,5,25.00
2016-07-07 00:00:00.0000000,6,28.42
2016-07-07 00:00:00.0000000,7,35.02
2016-07-07 00:00:00.0000000,8,33.91
2016-07-07 00:00:00.0000000,9,39.91
2016-07-07 00:00:00.0000000,10,40.92
2016-07-07 00:00:00.0000000,11,39.59
2016-07-07 00:00:00.0000000,12,37.70
2016-07-07 00:00:00.0000000,13,35.19
2016-07-07 00:00:00.0000000,14,31.95
2016-07-07 00:00:00.0000000,15,30.37
